date,site_id,site_name,day_of_week,month,target_tonnes,actual_tonnes,shortfall_tonnes,shortfall_pct,shortfall_risk_tier,primary_driver,rainfall_mm,soil_moisture_pct,surface_temp_c,ndvi,total_downtime_hours,excavator_downtime_hours,drill_downtime_hours,dumper_downtime_hours,fleet_utilization_pct,blasting_delay_hours,weather_stoppage_hours,labor_attendance_pct,truck_dispatch_trips
2023-01-21,balaghat,Balaghat Mine,Saturday,1,1231,1160,71,5.77,Low,equipment_downtime,0.0,14.0,25.3,0.448,4.5,1.0,1.8,1.7,98.0,0.0,0.0,97.5,46
2023-01-22,balaghat,Balaghat Mine,Sunday,1,1215,1085,130,10.7,Medium,equipment_downtime,0.0,21.2,25.8,0.516,6.0,1.4,1.2,3.4,98.0,2.6,0.0,91.2,42
2023-01-23,balaghat,Balaghat Mine,Monday,1,1245,677,568,45.62,High,equipment_downtime,0.0,11.1,22.8,0.361,20.5,5.9,0.9,13.7,93.2,0.0,0.0,91.5,28
2023-01-24,balaghat,Balaghat Mine,Tuesday,1,1252,1022,230,18.37,High,equipment_downtime,0.0,15.4,25.3,0.461,7.6,1.9,1.8,3.9,97.5,0.0,0.0,96.6,38
2023-01-25,balaghat,Balaghat Mine,Wednesday,1,1302,1168,134,10.29,Medium,equipment_downtime,0.0,17.5,29.4,0.45,4.8,1.0,1.4,2.4,98.0,0.0,0.0,87.6,48
2023-01-26,balaghat,Balaghat Mine,Thursday,1,1192,1050,142,11.91,Medium,equipment_downtime,0.0,11.2,26.5,0.411,3.5,0.4,1.8,1.3,98.0,0.0,0.0,92.4,42
2023-01-27,balaghat,Balaghat Mine,Friday,1,1263,832,431,34.13,High,equipment_downtime,0.0,14.5,23.3,0.446,16.9,8.4,1.7,6.8,94.4,0.4,0.0,92.2,36
2023-01-28,balaghat,Balaghat Mine,Saturday,1,1242,1032,210,16.91,Medium,equipment_downtime,0.0,13.4,26.9,0.398,7.4,1.5,1.4,4.5,97.6,0.0,0.0,95.0,44
2023-01-29,balaghat,Balaghat Mine,Sunday,1,1294,1182,112,8.66,Medium,equipment_downtime,0.0,15.6,26.8,0.339,4.5,0.3,1.9,2.3,98.0,0.0,0.0,87.5,48
2023-01-30,balaghat,Balaghat Mine,Monday,1,1245,1129,116,9.32,Medium,equipment_downtime,0.0,15.4,24.3,0.372,3.9,1.4,0.3,2.2,98.0,0.0,0.0,94.6,46
2023-01-31,balaghat,Balaghat Mine,Tuesday,1,1210,1105,105,8.68,Medium,equipment_downtime,8.6,19.7,22.8,0.416,4.3,1.2,1.9,1.2,98.0,0.0,0.0,89.9,46
2023-02-01,balaghat,Balaghat Mine,Wednesday,2,1301,946,355,27.29,High,equipment_downtime,0.0,17.5,24.9,0.397,13.3,2.8,1.3,9.2,95.6,0.0,0.0,99.0,39
2023-02-02,balaghat,Balaghat Mine,Thursday,2,1307,1285,22,1.68,Low,equipment_downtime,0.0,13.5,25.4,0.435,2.9,0.4,1.1,1.4,98.0,0.0,0.0,92.1,50
2023-02-03,balaghat,Balaghat Mine,Friday,2,1319,1095,224,16.98,Medium,blasting_delays,1.4,18.5,25.3,0.358,2.6,1.2,0.2,1.2,98.0,2.4,0.0,88.0,43
2023-02-04,balaghat,Balaghat Mine,Saturday,2,1305,1179,126,9.66,Medium,equipment_downtime,0.0,18.9,31.3,0.416,4.6,0.6,1.3,2.7,98.0,0.0,0.0,95.2,46
2023-02-05,balaghat,Balaghat Mine,Sunday,2,1299,1092,207,15.94,Medium,equipment_downtime,0.0,18.6,29.6,0.351,7.2,1.3,1.7,4.2,97.6,0.3,0.0,87.6,42
2023-02-06,balaghat,Balaghat Mine,Monday,2,1288,1107,181,14.05,Medium,equipment_downtime,0.0,15.1,28.8,0.489,6.2,0.7,1.3,4.2,97.9,0.0,0.0,88.5,45
2023-02-07,balaghat,Balaghat Mine,Tuesday,2,1230,1007,223,18.13,High,equipment_downtime,0.0,16.3,27.7,0.407,6.1,0.5,2.4,3.2,98.0,0.0,0.0,89.1,41
2023-02-08,balaghat,Balaghat Mine,Wednesday,2,1243,1200,43,3.46,Low,equipment_downtime,0.0,15.6,26.5,0.4,4.2,1.0,0.8,2.4,98.0,0.0,0.0,96.7,46
2023-02-09,balaghat,Balaghat Mine,Thursday,2,1278,957,321,25.12,High,labor_attendance,0.0,22.2,28.9,0.396,5.3,0.9,2.0,2.4,98.0,0.0,0.0,82.2,36
2023-02-10,balaghat,Balaghat Mine,Friday,2,1306,1235,71,5.44,Low,equipment_downtime,0.0,19.3,27.6,0.372,4.4,1.3,0.9,2.2,98.0,0.0,0.0,92.8,50
2023-02-11,balaghat,Balaghat Mine,Saturday,2,1291,1218,73,5.65,Low,equipment_downtime,0.0,19.8,24.2,0.446,3.6,0.4,0.7,2.5,98.0,1.2,0.0,98.0,51
2023-02-12,balaghat,Balaghat Mine,Sunday,2,1300,1191,109,8.38,Medium,equipment_downtime,0.0,20.8,31.7,0.35,5.2,1.2,1.6,2.4,98.0,0.0,0.0,89.1,46
2023-02-13,balaghat,Balaghat Mine,Monday,2,1291,1177,114,8.83,Medium,equipment_downtime,0.0,16.7,27.4,0.313,3.3,1.0,0.7,1.6,98.0,0.0,0.0,90.4,47
2023-02-14,balaghat,Balaghat Mine,Tuesday,2,1344,1185,159,11.83,Medium,equipment_downtime,0.0,20.8,27.9,0.408,6.9,1.1,1.5,4.3,97.7,0.0,0.0,90.4,46
2023-02-15,balaghat,Balaghat Mine,Wednesday,2,1260,1214,46,3.65,Low,equipment_downtime,0.0,14.4,28.0,0.293,3.9,0.9,1.0,2.0,98.0,0.0,0.0,99.0,44
2023-02-16,balaghat,Balaghat Mine,Thursday,2,1270,1177,93,7.32,Medium,equipment_downtime,0.0,17.2,30.8,0.335,3.4,0.3,2.0,1.1,98.0,0.0,0.0,95.8,46
2023-02-17,balaghat,Balaghat Mine,Friday,2,1313,1265,48,3.66,Low,equipment_downtime,0.0,17.1,32.2,0.289,4.7,0.6,1.6,2.5,98.0,0.0,0.0,97.3,49
2023-02-18,balaghat,Balaghat Mine,Saturday,2,1328,1266,62,4.67,Low,equipment_downtime,0.0,19.9,25.4,0.309,2.7,1.2,0.3,1.2,98.0,0.0,0.0,91.0,55
2023-02-19,balaghat,Balaghat Mine,Sunday,2,1295,1143,152,11.74,Medium,equipment_downtime,0.0,16.7,30.3,0.316,5.8,0.8,1.0,4.0,98.0,0.0,0.0,91.4,46
2023-02-20,balaghat,Balaghat Mine,Monday,2,1296,1144,152,11.73,Medium,equipment_downtime,0.0,16.1,31.1,0.344,7.1,3.6,0.9,2.6,97.7,0.0,0.0,91.7,46
2023-02-21,balaghat,Balaghat Mine,Tuesday,2,1302,1191,111,8.53,Medium,equipment_downtime,0.0,16.6,31.0,0.236,4.9,1.1,1.7,2.1,98.0,0.0,0.0,94.3,48
2023-02-22,balaghat,Balaghat Mine,Wednesday,2,1304,1177,127,9.74,Medium,equipment_downtime,0.0,14.8,30.9,0.394,4.2,0.3,0.6,3.3,98.0,0.0,0.0,88.4,49
2023-02-23,balaghat,Balaghat Mine,Thursday,2,1293,1222,71,5.49,Low,equipment_downtime,0.0,16.9,29.2,0.295,4.0,0.5,1.9,1.6,98.0,0.0,0.0,91.9,55
2023-02-24,balaghat,Balaghat Mine,Friday,2,1335,1214,121,9.06,Medium,equipment_downtime,0.0,13.3,30.5,0.318,5.8,0.4,1.4,4.0,98.0,0.0,0.0,91.7,54
2023-02-25,balaghat,Balaghat Mine,Saturday,2,1301,1212,89,6.84,Medium,equipment_downtime,0.0,11.0,30.2,0.395,3.9,1.2,0.2,2.5,98.0,0.0,0.0,90.1,46
2023-02-26,balaghat,Balaghat Mine,Sunday,2,1301,1210,91,6.99,Medium,equipment_downtime,0.0,13.7,30.8,0.262,2.8,0.5,0.9,1.4,98.0,0.0,0.0,95.3,49
2023-02-27,balaghat,Balaghat Mine,Monday,2,1330,1196,134,10.08,Medium,equipment_downtime,0.0,16.0,27.3,0.334,4.8,0.5,1.6,2.7,98.0,0.0,0.0,86.6,46
2023-02-28,balaghat,Balaghat Mine,Tuesday,2,1298,1085,213,16.41,Medium,equipment_downtime,0.0,13.9,34.4,0.403,5.4,0.8,0.8,3.8,98.0,0.0,0.0,87.6,41
2023-03-01,balaghat,Balaghat Mine,Wednesday,3,1334,1202,132,9.9,Medium,equipment_downtime,0.0,18.4,30.4,0.344,6.0,1.2,1.7,3.1,98.0,0.0,0.0,90.9,49
2023-03-02,balaghat,Balaghat Mine,Thursday,3,1337,1203,134,10.02,Medium,equipment_downtime,0.0,15.0,29.4,0.356,6.7,1.4,0.9,4.4,97.8,0.0,0.0,92.6,45
2023-03-03,balaghat,Balaghat Mine,Friday,3,1337,1185,152,11.37,Medium,equipment_downtime,0.0,16.1,28.5,0.282,6.6,0.8,1.7,4.1,97.8,0.0,0.0,97.4,45
2023-03-04,balaghat,Balaghat Mine,Saturday,3,1327,1147,180,13.56,Medium,equipment_downtime,0.0,10.9,31.9,0.281,5.3,0.8,0.7,3.8,98.0,0.0,0.0,89.9,40
2023-03-05,balaghat,Balaghat Mine,Sunday,3,1354,1284,70,5.17,Low,equipment_downtime,0.0,14.9,32.6,0.298,4.0,1.1,1.6,1.3,98.0,0.0,0.0,91.2,48
2023-03-06,balaghat,Balaghat Mine,Monday,3,1334,1235,99,7.42,Medium,equipment_downtime,0.0,15.1,26.3,0.322,3.4,1.0,1.1,1.3,98.0,0.0,0.0,97.2,50
2023-03-07,balaghat,Balaghat Mine,Tuesday,3,1330,1231,99,7.44,Medium,equipment_downtime,0.0,18.7,30.8,0.195,5.5,0.4,1.2,3.9,98.0,0.0,0.0,98.3,50
2023-03-08,balaghat,Balaghat Mine,Wednesday,3,1309,1198,111,8.48,Medium,equipment_downtime,0.0,14.2,32.8,0.317,4.4,0.9,1.4,2.1,98.0,0.0,0.0,99.0,49
2023-03-09,balaghat,Balaghat Mine,Thursday,3,1362,1149,213,15.64,Medium,equipment_downtime,0.0,19.6,31.8,0.276,4.4,0.7,0.5,3.2,98.0,0.0,0.0,86.4,46
2023-03-10,balaghat,Balaghat Mine,Friday,3,1339,1094,245,18.3,High,equipment_downtime,0.0,16.4,30.6,0.246,5.0,1.2,1.8,2.0,98.0,2.6,0.0,93.8,43
2023-03-11,balaghat,Balaghat Mine,Saturday,3,1289,1160,129,10.01,Medium,equipment_downtime,0.1,19.4,31.9,0.25,4.6,0.7,1.8,2.1,98.0,0.0,0.0,97.4,47
2023-03-12,balaghat,Balaghat Mine,Sunday,3,1379,1128,251,18.2,High,equipment_downtime,0.0,13.3,33.8,0.292,6.7,0.9,1.4,4.4,97.8,0.0,0.0,86.9,44
2023-03-13,balaghat,Balaghat Mine,Monday,3,1306,1186,120,9.19,Medium,equipment_downtime,0.0,18.1,32.5,0.211,4.2,0.9,1.7,1.6,98.0,0.0,0.0,99.0,51
2023-03-14,balaghat,Balaghat Mine,Tuesday,3,1323,1156,167,12.62,Medium,equipment_downtime,0.0,11.5,30.6,0.273,6.9,1.1,1.5,4.3,97.7,0.0,0.0,87.9,51
2023-03-15,balaghat,Balaghat Mine,Wednesday,3,1355,1296,59,4.35,Low,equipment_downtime,0.0,17.5,35.3,0.223,2.6,0.3,1.0,1.3,98.0,0.0,0.0,98.9,52
2023-03-16,balaghat,Balaghat Mine,Thursday,3,1318,1203,115,8.73,Medium,equipment_downtime,0.0,20.2,32.9,0.329,4.8,0.9,1.1,2.8,98.0,0.0,0.0,96.1,45
2023-03-17,balaghat,Balaghat Mine,Friday,3,1343,1030,313,23.31,High,equipment_downtime,0.0,15.7,31.9,0.235,13.3,1.5,8.3,3.5,95.6,0.0,0.0,93.3,45
2023-03-18,balaghat,Balaghat Mine,Saturday,3,1345,1275,70,5.2,Low,equipment_downtime,0.0,12.7,35.3,0.213,4.5,1.1,0.9,2.5,98.0,0.0,0.0,89.2,50
2023-03-19,balaghat,Balaghat Mine,Sunday,3,1316,1207,109,8.28,Medium,equipment_downtime,14.0,20.6,32.7,0.255,3.6,0.3,0.7,2.6,98.0,0.0,0.0,91.2,46
2023-03-20,balaghat,Balaghat Mine,Monday,3,1322,1067,255,19.29,High,labor_attendance,12.7,20.8,32.2,0.193,4.1,0.5,1.7,1.9,98.0,1.3,0.0,85.6,42
2023-03-21,balaghat,Balaghat Mine,Tuesday,3,1307,977,330,25.25,High,equipment_downtime,0.1,13.5,31.7,0.218,9.8,7.0,0.4,2.4,96.8,0.0,0.0,85.4,36
2023-03-22,balaghat,Balaghat Mine,Wednesday,3,1391,1026,365,26.24,High,equipment_downtime,0.0,15.0,31.3,0.18,15.6,2.3,1.7,11.6,94.8,0.0,0.0,99.0,40
2023-03-23,balaghat,Balaghat Mine,Thursday,3,1349,1238,111,8.23,Medium,equipment_downtime,0.0,19.6,33.1,0.256,5.0,1.3,0.3,3.4,98.0,0.0,0.0,96.2,53
2023-03-24,balaghat,Balaghat Mine,Friday,3,1318,1279,39,2.96,Low,equipment_downtime,0.0,16.9,36.2,0.26,2.9,0.7,0.3,1.9,98.0,1.3,0.0,95.7,53
2023-03-25,balaghat,Balaghat Mine,Saturday,3,1331,1250,81,6.09,Medium,equipment_downtime,0.0,14.2,34.5,0.281,3.8,0.4,1.6,1.8,98.0,0.0,0.0,91.8,49
2023-03-26,balaghat,Balaghat Mine,Sunday,3,1286,1136,150,11.66,Medium,equipment_downtime,0.0,14.7,32.2,0.284,4.0,1.1,0.6,2.3,98.0,0.0,0.0,91.7,47
2023-03-27,balaghat,Balaghat Mine,Monday,3,1355,1295,60,4.43,Low,equipment_downtime,0.0,14.4,36.2,0.234,2.9,0.4,0.3,2.2,98.0,0.0,0.0,94.1,54
2023-03-28,balaghat,Balaghat Mine,Tuesday,3,1311,1140,171,13.04,Medium,equipment_downtime,11.5,18.4,36.7,0.208,5.2,1.1,1.4,2.7,98.0,0.0,0.0,96.5,43
2023-03-29,balaghat,Balaghat Mine,Wednesday,3,1339,1075,264,19.72,High,equipment_downtime,0.0,13.8,33.5,0.18,10.0,4.4,1.8,3.8,96.7,0.0,0.0,94.7,44
2023-03-30,balaghat,Balaghat Mine,Thursday,3,1395,1184,211,15.13,Medium,equipment_downtime,0.0,17.6,37.7,0.252,5.3,0.3,1.0,4.0,98.0,0.0,0.0,96.1,49
2023-03-31,balaghat,Balaghat Mine,Friday,3,1319,1240,79,5.99,Low,equipment_downtime,0.0,17.9,36.9,0.18,3.8,1.3,1.4,1.1,98.0,0.0,0.0,97.9,53
2023-04-01,balaghat,Balaghat Mine,Saturday,4,1320,1181,139,10.53,Medium,equipment_downtime,0.0,16.7,35.6,0.251,6.9,1.1,1.9,3.9,97.7,0.0,0.0,90.6,46
2023-04-02,balaghat,Balaghat Mine,Sunday,4,1322,1119,203,15.36,Medium,equipment_downtime,0.0,15.7,34.1,0.294,8.0,0.8,3.7,3.5,97.4,0.0,0.0,89.8,43
2023-04-03,balaghat,Balaghat Mine,Monday,4,1329,1137,192,14.45,Medium,equipment_downtime,10.1,18.4,32.0,0.185,5.9,0.4,2.3,3.2,98.0,0.5,0.0,95.4,46
2023-04-04,balaghat,Balaghat Mine,Tuesday,4,1336,1121,215,16.09,Medium,equipment_downtime,0.0,17.2,36.1,0.198,4.5,1.2,0.3,3.0,98.0,0.0,0.0,87.9,43
2023-04-05,balaghat,Balaghat Mine,Wednesday,4,1329,1173,156,11.74,Medium,equipment_downtime,0.0,15.3,36.7,0.198,4.0,1.1,1.6,1.3,98.0,0.0,0.0,95.2,47
2023-04-06,balaghat,Balaghat Mine,Thursday,4,1329,1283,46,3.46,Low,equipment_downtime,0.0,19.8,31.9,0.258,4.3,0.3,0.7,3.3,98.0,0.0,0.0,99.0,52
2023-04-07,balaghat,Balaghat Mine,Friday,4,1390,1354,36,2.59,Low,equipment_downtime,0.0,16.1,34.9,0.344,4.8,0.7,1.6,2.5,98.0,0.0,0.0,92.8,57
2023-04-08,balaghat,Balaghat Mine,Saturday,4,1367,1264,103,7.53,Medium,equipment_downtime,0.0,12.7,36.8,0.203,7.0,1.5,1.9,3.6,97.7,0.0,0.0,91.2,51
2023-04-09,balaghat,Balaghat Mine,Sunday,4,1336,1242,94,7.04,Medium,equipment_downtime,0.0,17.0,32.5,0.286,5.3,1.3,0.9,3.1,98.0,0.0,0.0,96.9,49
2023-04-10,balaghat,Balaghat Mine,Monday,4,1331,763,568,42.67,High,equipment_downtime,0.0,16.9,37.2,0.211,22.5,11.1,0.3,11.1,92.6,0.0,0.0,91.8,31
2023-04-11,balaghat,Balaghat Mine,Tuesday,4,1375,1299,76,5.53,Low,equipment_downtime,0.0,18.0,35.2,0.273,3.4,1.1,1.1,1.2,98.0,0.0,0.0,99.0,56
2023-04-12,balaghat,Balaghat Mine,Wednesday,4,1350,1266,84,6.22,Medium,equipment_downtime,0.0,16.9,33.6,0.204,4.3,1.5,1.4,1.4,98.0,0.0,0.0,92.0,46
2023-04-13,balaghat,Balaghat Mine,Thursday,4,1376,1276,100,7.27,Medium,equipment_downtime,0.0,18.1,36.6,0.188,2.3,0.4,0.4,1.5,98.0,0.0,0.0,92.2,50
2023-04-14,balaghat,Balaghat Mine,Friday,4,1339,1188,151,11.28,Medium,equipment_downtime,0.0,17.9,39.1,0.25,4.8,1.1,1.7,2.0,98.0,0.0,0.0,93.9,51
2023-04-15,balaghat,Balaghat Mine,Saturday,4,1343,1204,139,10.35,Medium,equipment_downtime,0.0,10.8,36.1,0.216,6.2,0.6,1.5,4.1,97.9,0.0,0.0,94.3,48
2023-04-16,balaghat,Balaghat Mine,Sunday,4,1343,1271,72,5.36,Low,equipment_downtime,0.0,14.9,36.0,0.208,4.0,0.7,1.1,2.2,98.0,0.0,0.0,90.0,52
2023-04-17,balaghat,Balaghat Mine,Monday,4,1313,1105,208,15.84,Medium,equipment_downtime,0.0,18.4,35.9,0.18,6.2,1.0,1.8,3.4,97.9,0.0,0.0,89.8,46
2023-04-18,balaghat,Balaghat Mine,Tuesday,4,1356,670,686,50.59,High,equipment_downtime,0.0,17.4,36.9,0.259,26.7,6.7,1.6,18.4,91.2,0.0,0.0,95.0,25
2023-04-19,balaghat,Balaghat Mine,Wednesday,4,1388,907,481,34.65,High,equipment_downtime,0.0,13.4,34.9,0.18,21.5,2.8,1.1,17.6,92.9,0.0,0.0,92.4,36
2023-04-20,balaghat,Balaghat Mine,Thursday,4,1360,1284,76,5.59,Low,equipment_downtime,0.0,14.7,37.7,0.22,3.5,0.5,1.2,1.8,98.0,0.0,0.0,94.3,53
2023-04-21,balaghat,Balaghat Mine,Friday,4,1344,1090,254,18.9,High,equipment_downtime,0.0,16.1,37.9,0.18,8.9,3.4,1.9,3.6,97.1,0.0,0.0,90.0,46
2023-04-22,balaghat,Balaghat Mine,Saturday,4,1345,831,514,38.22,High,equipment_downtime,0.0,16.0,37.4,0.18,23.5,14.9,0.9,7.7,92.2,0.0,0.0,89.7,36
2023-04-23,balaghat,Balaghat Mine,Sunday,4,1348,763,585,43.4,High,equipment_downtime,0.0,17.0,37.4,0.209,25.2,8.5,0.5,16.2,91.7,0.0,0.0,95.4,30
2023-04-24,balaghat,Balaghat Mine,Monday,4,1315,552,763,58.02,High,equipment_downtime,0.0,20.4,38.2,0.239,30.0,11.9,1.4,16.7,90.1,2.0,0.0,94.1,23
2023-04-25,balaghat,Balaghat Mine,Tuesday,4,1305,1117,188,14.41,Medium,equipment_downtime,3.5,16.7,39.7,0.245,4.7,0.4,0.8,3.5,98.0,0.3,0.0,86.9,47
2023-04-26,balaghat,Balaghat Mine,Wednesday,4,1348,1280,68,5.04,Low,equipment_downtime,5.0,19.1,37.8,0.199,5.7,1.2,1.5,3.0,98.0,0.0,0.0,93.4,54
2023-04-27,balaghat,Balaghat Mine,Thursday,4,1387,1223,164,11.82,Medium,equipment_downtime,0.0,16.9,40.9,0.192,5.1,1.3,0.6,3.2,98.0,0.0,0.0,89.7,48
2023-04-28,balaghat,Balaghat Mine,Friday,4,1339,1198,141,10.53,Medium,equipment_downtime,0.0,13.2,39.4,0.198,4.6,1.9,1.3,1.4,98.0,0.0,0.0,92.9,49
2023-04-29,balaghat,Balaghat Mine,Saturday,4,1354,1284,70,5.17,Low,equipment_downtime,0.0,15.6,39.5,0.261,3.8,1.1,0.3,2.4,98.0,0.0,0.0,95.3,57
2023-04-30,balaghat,Balaghat Mine,Sunday,4,1335,1201,134,10.04,Medium,equipment_downtime,0.0,16.5,40.5,0.18,4.8,1.1,1.7,2.0,98.0,0.0,0.0,94.3,48
2023-05-01,balaghat,Balaghat Mine,Monday,5,1326,1333,0,0.0,Low,nominal_operations,3.5,17.3,35.9,0.244,1.8,0.4,0.4,1.0,98.0,0.9,0.0,91.5,55
2023-05-02,balaghat,Balaghat Mine,Tuesday,5,1350,1123,227,16.81,Medium,equipment_downtime,0.0,17.7,38.6,0.281,6.1,0.8,1.2,4.1,98.0,1.2,0.0,94.7,48
2023-05-03,balaghat,Balaghat Mine,Wednesday,5,1296,1269,27,2.08,Low,equipment_downtime,0.0,13.7,34.5,0.223,4.0,1.0,0.5,2.5,98.0,0.0,0.0,89.3,55
2023-05-04,balaghat,Balaghat Mine,Thursday,5,1334,1181,153,11.47,Medium,equipment_downtime,0.0,18.6,39.6,0.237,4.6,1.0,2.2,1.4,98.0,0.0,0.0,96.7,50
2023-05-05,balaghat,Balaghat Mine,Friday,5,1385,1280,105,7.58,Medium,equipment_downtime,0.0,14.9,37.1,0.24,4.5,0.8,0.7,3.0,98.0,0.0,0.0,96.2,52
2023-05-06,balaghat,Balaghat Mine,Saturday,5,1346,1057,289,21.47,High,equipment_downtime,0.0,14.2,38.0,0.228,13.0,7.6,1.3,4.1,95.7,0.0,0.0,90.3,42
2023-05-07,balaghat,Balaghat Mine,Sunday,5,1328,1077,251,18.9,High,equipment_downtime,0.0,16.1,39.3,0.293,5.4,0.4,1.4,3.6,98.0,0.0,0.0,87.6,44
2023-05-08,balaghat,Balaghat Mine,Monday,5,1343,1161,182,13.55,Medium,equipment_downtime,3.1,14.4,38.0,0.18,5.7,1.1,1.6,3.0,98.0,1.4,0.0,97.7,46
2023-05-09,balaghat,Balaghat Mine,Tuesday,5,1327,938,389,29.31,High,equipment_downtime,0.0,14.9,41.9,0.18,17.1,8.0,0.4,8.7,94.3,0.2,0.0,93.2,38
2023-05-10,balaghat,Balaghat Mine,Wednesday,5,1289,1058,231,17.92,Medium,equipment_downtime,0.0,14.9,41.5,0.252,5.1,0.7,0.8,3.6,98.0,0.0,0.0,94.4,45
2023-05-11,balaghat,Balaghat Mine,Thursday,5,1373,1219,154,11.22,Medium,equipment_downtime,0.0,14.2,37.8,0.215,10.6,3.3,1.0,6.3,96.5,0.0,0.0,94.0,50
2023-05-12,balaghat,Balaghat Mine,Friday,5,1381,1249,132,9.56,Medium,equipment_downtime,0.0,22.4,39.7,0.264,5.8,0.6,1.5,3.7,98.0,0.0,0.0,93.5,50
2023-05-13,balaghat,Balaghat Mine,Saturday,5,1319,1176,143,10.84,Medium,equipment_downtime,0.0,20.2,37.8,0.208,4.8,0.9,0.2,3.7,98.0,0.0,0.0,97.3,48
2023-05-14,balaghat,Balaghat Mine,Sunday,5,1342,1173,169,12.59,Medium,equipment_downtime,0.0,18.1,38.2,0.225,4.3,1.1,2.1,1.1,98.0,0.0,0.0,95.3,47
