block_id,site_id,site_name,lat,lon,depth_m,ore_grade_pct,rock_hardness_mohs,drill_hole_density,ndvi_anomaly,soil_moisture_pct,surface_temp_c,spectral_band_ratio,gravity_anomaly_mgal,magnetic_susceptibility,confidence_pct,estimated_reserve_tonnes
GUM-BLK-004,gumgaon,Gumgaon Mine,21.41776,78.99019,191.4,41.93,4.75,10.3,-0.1817,37.89,23.6,2.968,6.09,2.93,60.0,748678
MAN-BLK-004,mansar,Mansar Mine,21.40367,79.21409,198.6,40.04,4.73,7.55,-0.1748,20.09,41.65,2.919,4.19,3.72,60.0,669940
UKW-BLK-004,ukwa,Ukwa Mine,22.0008,80.435,104.6,43.48,7.1,13.77,-0.097,16.8,30.49,2.466,9.51,5.62,79.3,617633
BAL-BLK-005,balaghat,Balaghat Mine,21.75436,80.22161,409.2,47.56,6.15,17.78,-0.4077,21.09,37.7,2.416,14.23,4.43,79.8,2221441
DON-BLK-005,dongri_buzurg,Dongri Buzurg Mine,21.55162,79.56205,60.8,38.33,5.67,17.71,-0.3416,21.36,32.59,3.26,5.36,4.9,91.0,696925
GUM-BLK-005,gumgaon,Gumgaon Mine,21.35244,79.02128,133.4,39.23,6.08,12.21,-0.1618,27.97,39.14,2.066,16.38,1.16,87.1,720090
MAN-BLK-005,mansar,Mansar Mine,21.42463,79.26844,72.8,36.76,5.36,9.94,-0.0586,26.14,28.88,2.995,10.04,4.48,68.3,599118
UKW-BLK-005,ukwa,Ukwa Mine,21.93354,80.44429,235.1,38.79,6.6,7.73,-0.1071,22.79,31.02,3.112,12.3,4.48,60.0,745297
BAL-BLK-006,balaghat,Balaghat Mine,21.80564,80.21218,273.4,45.63,4.53,13.13,-0.2294,24.58,34.68,2.34,18.5,2.29,69.2,1789046
DON-BLK-006,dongri_buzurg,Dongri Buzurg Mine,21.60032,79.72337,135.0,39.24,5.98,11.97,-0.0584,23.12,28.29,2.479,11.22,2.82,69.1,823700
GUM-BLK-006,gumgaon,Gumgaon Mine,21.40145,79.0126,133.8,38.38,6.72,10.35,-0.1424,15.31,25.67,2.288,9.04,3.87,60.0,659620
MAN-BLK-006,mansar,Mansar Mine,21.43541,79.2508,80.0,37.65,5.77,11.98,-0.1272,19.04,34.34,3.292,9.1,3.98,70.1,643666
UKW-BLK-006,ukwa,Ukwa Mine,21.95065,80.47566,113.3,43.84,6.0,12.09,-0.1433,32.71,36.32,3.653,9.29,4.55,80.5,666871
BAL-BLK-007,balaghat,Balaghat Mine,21.89239,80.15257,246.6,46.06,5.45,7.26,-0.3074,24.9,33.54,3.558,15.22,2.81,62.3,1733687
DON-BLK-007,dongri_buzurg,Dongri Buzurg Mine,21.57368,79.63889,151.9,46.33,6.84,16.13,-0.2743,13.72,38.09,2.666,16.18,1.59,85.0,1186473
GUM-BLK-007,gumgaon,Gumgaon Mine,21.39191,79.00468,266.1,38.92,4.85,6.4,-0.1591,27.09,35.2,2.113,5.27,5.03,64.1,655974
MAN-BLK-007,mansar,Mansar Mine,21.37116,79.31925,153.6,38.82,6.8,19.21,0.0377,22.51,36.37,2.908,13.94,2.34,87.0,841377
UKW-BLK-007,ukwa,Ukwa Mine,22.00904,80.39635,170.6,46.28,5.44,11.52,-0.0374,24.44,39.33,2.096,7.34,3.43,73.9,657403
BAL-BLK-008,balaghat,Balaghat Mine,21.80349,80.1022,332.0,46.25,5.15,13.28,-0.3303,20.92,27.23,2.688,15.3,2.32,81.1,2013842
DON-BLK-008,dongri_buzurg,Dongri Buzurg Mine,21.53279,79.65999,61.2,37.18,5.48,11.33,0.0727,24.21,28.85,2.692,8.93,3.23,70.3,648301
GUM-BLK-008,gumgaon,Gumgaon Mine,21.422,78.98158,190.4,38.19,5.81,6.7,-0.0051,33.87,30.88,2.869,10.55,7.19,60.0,703479
MAN-BLK-008,mansar,Mansar Mine,21.39598,79.21898,155.9,36.23,5.52,8.83,-0.235,17.51,39.59,2.98,8.91,5.28,76.5,674677
UKW-BLK-008,ukwa,Ukwa Mine,21.93225,80.52762,177.7,45.31,4.84,8.94,-0.3778,29.56,40.59,2.075,13.8,2.72,72.4,744164
BAL-BLK-009,balaghat,Balaghat Mine,21.7811,80.15034,221.6,39.49,7.15,14.4,-0.2056,18.55,29.4,2.966,11.58,2.33,88.2,1355741
DON-BLK-009,dongri_buzurg,Dongri Buzurg Mine,21.58406,79.62492,132.3,42.72,5.01,9.33,-0.4129,14.23,32.22,2.786,8.49,4.27,60.0,873285
GUM-BLK-009,gumgaon,Gumgaon Mine,21.38906,78.95436,221.2,39.38,4.86,10.57,-0.0555,20.54,35.76,2.117,11.62,5.23,60.0,621385
MAN-BLK-009,mansar,Mansar Mine,21.36922,79.28028,209.5,37.93,7.11,13.3,-0.2401,24.52,31.3,3.131,10.29,3.91,78.9,794128
UKW-BLK-009,ukwa,Ukwa Mine,21.9472,80.4494,129.6,45.32,5.91,15.62,-0.1074,22.04,37.41,2.521,6.0,2.29,60.0,540318
BAL-BLK-010,balaghat,Balaghat Mine,21.79074,80.18564,235.7,51.19,6.93,14.9,-0.45,25.41,35.47,2.117,17.6,3.91,87.6,2031408
DON-BLK-010,dongri_buzurg,Dongri Buzurg Mine,21.57931,79.78253,147.3,39.84,5.34,13.41,-0.0794,18.86,32.32,2.416,11.63,3.9,67.7,949862
GUM-BLK-010,gumgaon,Gumgaon Mine,21.3713,78.99201,271.5,37.06,4.9,14.65,-0.273,29.22,38.1,2.78,14.85,2.57,68.4,799260
MAN-BLK-010,mansar,Mansar Mine,21.32995,79.31704,143.2,39.01,6.15,21.25,-0.1609,28.35,34.16,2.721,7.53,4.07,61.6,810110
UKW-BLK-010,ukwa,Ukwa Mine,22.02052,80.53043,268.2,42.37,7.0,8.54,-0.2093,24.33,36.92,1.903,15.67,3.31,74.4,773490
BAL-BLK-011,balaghat,Balaghat Mine,21.76432,80.11871,309.0,45.86,5.44,14.2,-0.2554,34.01,30.83,2.035,11.56,3.17,60.0,1720633
DON-BLK-011,dongri_buzurg,Dongri Buzurg Mine,21.55183,79.68246,109.7,43.15,6.21,11.06,-0.3317,39.44,32.27,2.682,11.28,3.74,81.0,927916
GUM-BLK-011,gumgaon,Gumgaon Mine,21.36875,78.98093,126.9,47.0,4.68,8.13,-0.2526,33.02,20.07,3.218,16.44,1.01,75.9,854288
MAN-BLK-011,mansar,Mansar Mine,21.38624,79.2009,175.9,36.32,5.6,15.27,-0.0053,28.33,26.92,2.348,10.43,2.03,76.6,724490
UKW-BLK-011,ukwa,Ukwa Mine,21.95709,80.45171,230.0,44.46,5.57,12.88,-0.3365,27.7,34.67,2.553,12.79,2.0,69.9,859752
BAL-BLK-012,balaghat,Balaghat Mine,21.7974,80.16399,242.3,49.44,5.53,6.55,-0.1639,16.32,39.9,1.822,18.64,3.75,79.8,1883105
DON-BLK-012,dongri_buzurg,Dongri Buzurg Mine,21.5322,79.70767,144.2,43.92,6.66,11.89,-0.2472,23.66,33.39,1.916,7.58,4.39,79.0,944518
GUM-BLK-012,gumgaon,Gumgaon Mine,21.38434,79.00354,152.6,40.77,5.24,12.69,-0.302,26.45,24.34,3.107,11.94,3.81,67.7,808956
MAN-BLK-012,mansar,Mansar Mine,21.46772,79.29777,91.6,38.06,5.53,14.82,-0.2433,24.16,34.33,2.281,10.13,2.59,77.6,619960
UKW-BLK-012,ukwa,Ukwa Mine,21.91043,80.42977,229.4,40.02,5.3,8.68,0.1358,26.96,32.83,2.247,12.36,2.81,78.1,666710
BAL-BLK-013,balaghat,Balaghat Mine,21.9072,80.18106,260.2,45.51,4.7,12.85,-0.2173,34.62,29.18,3.522,14.3,2.83,76.9,1807769
DON-BLK-013,dongri_buzurg,Dongri Buzurg Mine,21.5929,79.71657,83.3,36.8,4.75,11.74,-0.0863,25.07,25.99,2.762,10.96,4.17,63.3,759569
GUM-BLK-013,gumgaon,Gumgaon Mine,21.42506,79.02117,167.4,35.53,7.17,11.8,-0.1016,25.25,33.22,1.999,5.44,4.76,79.8,528020
MAN-BLK-013,mansar,Mansar Mine,21.42836,79.25833,117.4,38.58,6.74,12.34,-0.227,21.39,30.61,2.714,8.32,5.01,66.0,626495
UKW-BLK-013,ukwa,Ukwa Mine,21.95923,80.44911,197.1,41.98,6.19,15.65,-0.1598,29.34,32.37,3.139,9.39,5.19,60.0,814834
BAL-BLK-014,balaghat,Balaghat Mine,21.79029,80.16708,281.1,50.57,6.49,10.53,-0.2772,15.93,27.87,2.322,11.65,3.46,78.6,2031496
DON-BLK-014,dongri_buzurg,Dongri Buzurg Mine,21.61602,79.65177,66.2,40.74,6.87,9.11,-0.1904,28.05,26.95,2.815,11.01,4.09,74.4,754271
GUM-BLK-014,gumgaon,Gumgaon Mine,21.48991,78.97729,161.9,38.31,5.0,9.77,-0.0272,32.52,29.43,2.236,11.07,2.84,68.8,662084
MAN-BLK-014,mansar,Mansar Mine,21.40922,79.19657,166.7,36.15,6.87,12.58,-0.2304,21.67,33.29,2.732,10.88,5.91,82.8,715127
UKW-BLK-014,ukwa,Ukwa Mine,21.93477,80.41153,230.2,41.75,5.84,10.19,-0.1637,23.9,37.35,3.794,9.27,2.91,60.0,781797
BAL-BLK-015,balaghat,Balaghat Mine,21.83208,80.25877,244.1,47.17,6.28,13.07,-0.1246,27.04,36.8,3.255,16.91,4.28,88.7,1835004
DON-BLK-015,dongri_buzurg,Dongri Buzurg Mine,21.55987,79.73996,59.3,38.91,6.71,12.1,-0.0201,25.15,32.21,2.007,12.11,4.27,60.0,757125
GUM-BLK-015,gumgaon,Gumgaon Mine,21.37939,79.01157,264.6,41.31,5.42,12.17,-0.1149,25.12,29.99,2.738,13.93,2.27,85.4,878157
MAN-BLK-015,mansar,Mansar Mine,21.3731,79.305,68.2,34.24,6.85,10.04,-0.1001,33.39,31.7,2.307,13.88,1.76,60.0,486943
UKW-BLK-015,ukwa,Ukwa Mine,21.9843,80.44662,224.9,46.94,5.24,16.59,-0.1436,23.4,40.31,2.244,8.1,2.67,90.4,768750
BAL-BLK-016,balaghat,Balaghat Mine,21.81453,80.17525,231.1,47.49,4.58,7.62,-0.0517,23.51,37.03,2.887,14.24,4.18,71.2,1740495
DON-BLK-016,dongri_buzurg,Dongri Buzurg Mine,21.57971,79.74487,55.7,44.7,5.8,13.72,-0.2894,34.81,31.82,2.052,12.28,2.68,72.7,836359
GUM-BLK-016,gumgaon,Gumgaon Mine,21.3656,78.98495,122.2,34.51,4.7,10.42,-0.4379,14.5,35.42,2.914,9.6,2.34,80.5,615233
MAN-BLK-016,mansar,Mansar Mine,21.40096,79.21087,171.3,39.97,4.53,18.24,-0.1548,11.75,30.89,2.326,7.23,3.16,60.0,817472
UKW-BLK-016,ukwa,Ukwa Mine,21.99233,80.44385,130.1,45.4,4.78,16.9,-0.1015,24.36,29.09,3.02,13.32,4.57,83.4,780128
BAL-BLK-017,balaghat,Balaghat Mine,21.84678,80.16349,199.2,46.82,6.71,15.33,0.0281,19.86,39.81,2.813,10.68,2.92,84.7,1565765
DON-BLK-017,dongri_buzurg,Dongri Buzurg Mine,21.57097,79.71261,119.0,39.59,5.85,18.05,-0.1252,24.23,32.54,2.904,7.04,3.19,60.0,767974
GUM-BLK-017,gumgaon,Gumgaon Mine,21.40767,79.02869,261.1,34.58,5.5,8.84,-0.1205,30.28,39.58,2.355,11.59,3.45,76.7,667669
MAN-BLK-017,mansar,Mansar Mine,21.43645,79.28329,224.2,34.09,5.07,17.17,0.0211,20.25,33.78,2.777,8.96,2.84,79.6,678317
UKW-BLK-017,ukwa,Ukwa Mine,21.96568,80.51361,144.5,43.36,5.89,15.72,-0.0623,13.56,30.37,2.174,7.54,4.89,80.0,591496
BAL-BLK-018,balaghat,Balaghat Mine,21.81866,80.18302,236.7,47.84,4.7,12.27,-0.381,29.98,29.78,2.037,11.71,5.3,69.4,1790226
DON-BLK-018,dongri_buzurg,Dongri Buzurg Mine,21.54005,79.67773,44.4,43.57,5.78,16.28,-0.1556,26.58,36.64,2.788,10.72,3.26,91.4,744149
GUM-BLK-018,gumgaon,Gumgaon Mine,21.39021,79.03191,127.5,39.95,4.83,14.56,-0.1894,24.47,23.01,3.045,11.27,4.7,60.0,596101
MAN-BLK-018,mansar,Mansar Mine,21.48463,79.25162,85.1,35.87,6.32,14.25,-0.2301,35.48,31.14,2.676,11.42,4.09,86.8,644979
UKW-BLK-018,ukwa,Ukwa Mine,21.9813,80.56284,256.4,43.64,6.04,15.87,-0.0594,27.83,26.86,3.417,8.08,3.86,74.9,746271
BAL-BLK-019,balaghat,Balaghat Mine,21.80223,80.19805,389.0,47.45,6.49,17.02,-0.254,29.78,37.35,2.18,14.65,4.34,91.4,2165765
DON-BLK-019,dongri_buzurg,Dongri Buzurg Mine,21.60903,79.6857,105.3,41.55,4.52,8.16,-0.3621,33.57,28.19,2.208,4.33,2.73,60.0,697984
GUM-BLK-019,gumgaon,Gumgaon Mine,21.45738,79.04319,237.7,33.5,6.83,9.61,-0.4409,37.75,25.75,1.806,11.04,6.43,60.0,715259
MAN-BLK-019,mansar,Mansar Mine,21.42366,79.28099,232.0,40.89,4.55,14.66,-0.1516,24.63,31.72,2.306,9.72,1.47,87.2,842636
UKW-BLK-019,ukwa,Ukwa Mine,21.92716,80.42256,244.5,38.45,6.15,13.39,-0.2894,29.64,27.58,2.512,11.36,2.34,86.1,718137
BAL-BLK-020,balaghat,Balaghat Mine,21.75144,80.16085,316.2,47.4,5.19,11.93,-0.1581,25.34,38.14,2.788,11.55,3.65,74.9,1961211
DON-BLK-020,dongri_buzurg,Dongri Buzurg Mine,21.55595,79.69332,67.4,42.6,5.61,7.46,-0.3449,19.84,28.77,3.071,10.27,5.0,63.2,762575
GUM-BLK-020,gumgaon,Gumgaon Mine,21.40286,78.96939,231.5,45.81,4.95,14.22,-0.1652,22.89,31.42,2.73,11.84,4.66,60.0,1007024
MAN-BLK-020,mansar,Mansar Mine,21.3788,79.20241,167.0,39.38,4.87,11.99,-0.2727,33.83,39.55,2.376,11.74,5.45,78.4,763448
UKW-BLK-020,ukwa,Ukwa Mine,21.95856,80.44343,140.8,40.96,5.46,12.12,-0.2781,25.4,25.0,2.795,13.09,1.11,79.8,710402
BAL-BLK-021,balaghat,Balaghat Mine,21.85391,80.13651,418.6,48.45,6.47,18.81,-0.3153,23.67,34.51,2.78,14.82,2.4,96.5,2364390
DON-BLK-021,dongri_buzurg,Dongri Buzurg Mine,21.49745,79.68725,130.7,38.67,5.44,15.82,-0.0989,17.45,30.58,3.161,10.21,6.28,83.8,893980
GUM-BLK-021,gumgaon,Gumgaon Mine,21.39938,78.99044,144.3,41.21,6.41,14.04,-0.2816,16.01,23.74,2.878,7.36,0.92,78.4,709073
MAN-BLK-021,mansar,Mansar Mine,21.50082,79.25696,238.6,40.85,6.8,12.29,-0.197,29.51,30.69,2.765,11.51,2.7,66.5,930825
UKW-BLK-021,ukwa,Ukwa Mine,21.9597,80.43647,131.2,40.9,7.13,16.6,-0.0551,26.85,31.89,3.013,14.73,4.17,96.5,715507
BAL-BLK-022,balaghat,Balaghat Mine,21.75233,80.1423,268.2,45.65,4.68,12.2,-0.1503,23.58,34.19,2.738,6.3,2.37,79.1,1636916
DON-BLK-022,dongri_buzurg,Dongri Buzurg Mine,21.50561,79.7157,114.4,38.49,4.67,13.46,-0.1966,32.94,32.67,2.462,7.88,3.14,77.8,762696
GUM-BLK-022,gumgaon,Gumgaon Mine,21.39852,79.00922,274.7,39.81,6.16,15.32,-0.357,8.68,36.2,2.016,9.51,2.1,60.0,735186
MAN-BLK-022,mansar,Mansar Mine,21.42276,79.28757,198.5,38.42,5.8,11.39,-0.236,26.35,25.34,2.695,9.65,4.2,80.8,773508
UKW-BLK-022,ukwa,Ukwa Mine,21.92778,80.51456,117.7,43.36,5.82,10.45,-0.3063,22.96,39.7,2.061,6.58,5.27,74.9,555653
BAL-BLK-023,balaghat,Balaghat Mine,21.77804,80.2265,345.2,42.02,6.77,10.58,0.0667,20.37,35.34,2.795,14.86,5.37,85.3,1713994
DON-BLK-023,dongri_buzurg,Dongri Buzurg Mine,21.52386,79.7101,101.5,39.3,6.34,10.72,-0.1537,15.92,27.63,3.164,8.04,2.24,70.0,799518
GUM-BLK-023,gumgaon,Gumgaon Mine,21.43913,79.03156,170.4,41.5,5.53,16.59,-0.2277,22.5,37.98,2.904,12.14,6.1,81.7,782191
MAN-BLK-023,mansar,Mansar Mine,21.43821,79.25948,164.8,39.25,6.52,13.88,-0.0468,21.81,28.22,2.153,4.09,5.97,61.2,585147
UKW-BLK-023,ukwa,Ukwa Mine,21.95785,80.45563,259.6,40.05,6.7,15.2,-0.2003,25.7,30.88,3.357,11.74,4.38,78.5,814901
BAL-BLK-024,balaghat,Balaghat Mine,21.85174,80.19214,416.3,42.87,7.03,13.4,-0.2754,20.83,34.64,3.229,11.32,3.87,60.0,1982523
DON-BLK-024,dongri_buzurg,Dongri Buzurg Mine,21.56363,79.79577,75.7,46.27,6.86,14.18,-0.0629,28.04,31.38,2.166,11.82,2.48,78.4,846647
GUM-BLK-024,gumgaon,Gumgaon Mine,21.41524,79.0696,237.0,40.91,5.01,16.19,-0.2586,23.2,32.07,2.292,12.51,3.35,85.8,861572
MAN-BLK-024,mansar,Mansar Mine,21.3656,79.2397,115.0,36.21,6.45,4.67,-0.1303,29.6,25.62,1.79,4.35,5.02,60.0,444779
UKW-BLK-024,ukwa,Ukwa Mine,22.06903,80.44413,204.4,44.32,6.02,19.22,-0.0609,30.14,34.67,3.041,10.11,2.52,96.5,777628
BAL-BLK-025,balaghat,Balaghat Mine,21.79799,80.16677,368.4,49.15,5.9,14.39,-0.3719,22.84,28.77,1.915,13.21,3.35,61.2,2269556
DON-BLK-025,dongri_buzurg,Dongri Buzurg Mine,21.57923,79.65073,116.3,46.39,6.62,11.21,-0.3335,21.77,36.9,3.567,17.12,2.91,66.5,1108473
GUM-BLK-025,gumgaon,Gumgaon Mine,21.39734,78.93206,176.8,42.69,6.77,11.32,-0.1345,20.8,26.74,1.377,11.11,5.63,60.0,775988
MAN-BLK-025,mansar,Mansar Mine,21.38282,79.23311,169.8,39.81,4.87,14.68,-0.0316,23.4,31.08,2.236,7.7,3.23,80.2,720325
UKW-BLK-025,ukwa,Ukwa Mine,22.00324,80.43457,181.0,42.33,4.67,11.95,-0.45,29.3,35.32,2.538,11.27,4.12,60.0,672221
BAL-BLK-026,balaghat,Balaghat Mine,21.78364,80.21667,227.5,42.99,6.03,13.63,-0.2022,14.31,37.24,2.343,8.87,3.74,63.7,1494534
DON-BLK-026,dongri_buzurg,Dongri Buzurg Mine,21.51337,79.69417,143.2,40.37,6.41,12.53,-0.2815,24.52,27.18,1.324,11.69,4.58,60.0,796861
GUM-BLK-026,gumgaon,Gumgaon Mine,21.35131,79.02757,131.8,45.56,5.88,11.36,-0.0484,20.12,28.4,2.49,9.34,3.65,60.0,771857
MAN-BLK-026,mansar,Mansar Mine,21.41402,79.24711,218.3,37.49,5.72,13.79,-0.059,23.53,31.19,4.0,10.27,2.6,79.5,807564
UKW-BLK-026,ukwa,Ukwa Mine,22.01264,80.47123,151.7,39.77,6.64,18.56,-0.049,21.32,37.76,2.661,12.73,4.08,81.7,652899
BAL-BLK-027,balaghat,Balaghat Mine,21.77906,80.2261,385.7,45.76,7.16,13.69,-0.2547,21.58,27.7,2.901,18.45,2.22,93.9,2129973
DON-BLK-027,dongri_buzurg,Dongri Buzurg Mine,21.61049,79.68851,158.1,42.47,6.3,8.28,-0.1434,22.88,36.44,3.201,18.88,4.2,78.5,1129405
GUM-BLK-027,gumgaon,Gumgaon Mine,21.39948,78.98867,155.6,40.56,5.96,13.06,-0.3041,30.84,37.93,2.588,4.08,2.77,60.0,684228
MAN-BLK-027,mansar,Mansar Mine,21.40019,79.21723,188.2,37.09,6.73,11.16,-0.2065,21.65,27.85,3.321,8.26,4.96,60.0,794774
UKW-BLK-027,ukwa,Ukwa Mine,22.00663,80.44944,184.8,43.91,4.84,12.47,-0.3449,31.13,29.91,2.776,12.47,3.19,75.7,800475
BAL-BLK-028,balaghat,Balaghat Mine,21.7858,80.21975,346.6,42.73,5.88,8.5,-0.2777,27.08,32.81,2.828,12.67,4.26,60.0,1794839
DON-BLK-028,dongri_buzurg,Dongri Buzurg Mine,21.57039,79.68205,120.5,38.49,5.71,12.53,-0.0381,23.28,22.22,2.995,8.12,3.39,77.4,801734
GUM-BLK-028,gumgaon,Gumgaon Mine,21.39932,79.03118,175.5,38.58,6.96,14.59,-0.0976,18.39,36.89,2.373,12.18,3.94,60.0,788455
MAN-BLK-028,mansar,Mansar Mine,21.39216,79.24323,62.2,33.22,6.12,10.96,-0.2658,17.59,36.28,3.313,7.56,3.3,79.4,535960
UKW-BLK-028,ukwa,Ukwa Mine,22.01318,80.42961,116.9,44.47,6.96,15.41,-0.1467,25.14,36.5,1.476,13.85,2.72,60.0,594118
BAL-BLK-029,balaghat,Balaghat Mine,21.82525,80.23985,394.2,52.0,6.2,8.1,-0.0552,28.45,32.34,2.072,13.71,2.49,60.0,2487380
DON-BLK-029,dongri_buzurg,Dongri Buzurg Mine,21.54696,79.69663,129.2,42.74,5.87,9.82,-0.1731,19.55,26.06,2.395,11.1,2.98,67.7,897619
GUM-BLK-029,gumgaon,Gumgaon Mine,21.33545,78.99948,236.0,37.3,5.89,9.66,-0.2009,19.49,33.44,3.2,3.68,3.64,72.1,631150
MAN-BLK-029,mansar,Mansar Mine,21.42795,79.26573,80.5,36.39,5.43,15.77,-0.1558,35.41,31.73,2.266,4.45,1.34,60.0,451842
UKW-BLK-029,ukwa,Ukwa Mine,21.97739,80.48705,209.4,46.38,7.08,10.1,-0.2762,24.88,39.25,3.122,11.68,2.43,60.0,730928
BAL-BLK-030,balaghat,Balaghat Mine,21.77603,80.17645,360.3,43.74,4.69,11.21,-0.2804,25.01,33.99,2.192,15.79,3.38,87.4,1872841
DON-BLK-030,dongri_buzurg,Dongri Buzurg Mine,21.58233,79.70103,113.5,42.27,4.83,14.23,-0.3309,24.65,31.85,2.57,10.66,1.24,78.2,905958
GUM-BLK-030,gumgaon,Gumgaon Mine,21.39541,79.00919,185.2,36.92,6.47,15.39,-0.1103,20.12,39.99,2.055,11.93,4.7,78.8,660686
MAN-BLK-030,mansar,Mansar Mine,21.4568,79.2472,208.0,33.41,6.07,9.57,0.0161,14.03,36.65,3.052,4.67,3.01,60.0,537845
UKW-BLK-030,ukwa,Ukwa Mine,21.9581,80.45438,127.8,45.98,4.57,16.59,-0.0484,20.63,31.06,1.956,9.93,4.66,60.5,718207
BAL-BLK-031,balaghat,Balaghat Mine,21.75543,80.1612,417.1,51.8,4.88,10.38,-0.3076,23.91,34.46,2.794,13.07,3.37,82.4,2510921
DON-BLK-031,dongri_buzurg,Dongri Buzurg Mine,21.5392,79.68135,74.7,45.68,6.93,14.44,-0.2541,31.04,33.66,2.661,13.58,1.61,69.3,885619
GUM-BLK-031,gumgaon,Gumgaon Mine,21.34394,79.00852,225.2,44.2,6.75,12.88,-0.4214,20.74,28.45,2.41,11.22,2.93,60.0,805605
MAN-BLK-031,mansar,Mansar Mine,21.43102,79.21429,139.9,39.17,6.19,3.14,-0.2093,30.61,40.81,2.069,11.45,2.94,67.7,658434
UKW-BLK-031,ukwa,Ukwa Mine,22.07247,80.40658,141.0,44.54,6.85,18.19,-0.1703,21.65,33.21,2.539,13.71,3.06,91.2,774324
BAL-BLK-032,balaghat,Balaghat Mine,21.80363,80.22994,321.3,46.36,5.51,8.83,-0.2966,20.43,38.18,1.757,21.89,4.77,83.9,2011721
DON-BLK-032,dongri_buzurg,Dongri Buzurg Mine,21.5518,79.70312,139.3,42.36,7.08,17.22,-0.2178,23.09,31.12,3.175,12.86,0.8,83.2,1074120
GUM-BLK-032,gumgaon,Gumgaon Mine,21.39949,79.00205,250.7,38.71,6.45,9.29,-0.1234,18.17,25.79,2.334,12.39,4.64,71.4,775622
MAN-BLK-032,mansar,Mansar Mine,21.4301,79.27785,193.3,39.68,6.58,9.92,-0.0354,28.25,33.58,3.111,10.06,2.44,77.6,767892
UKW-BLK-032,ukwa,Ukwa Mine,21.9369,80.43969,162.8,43.4,4.8,5.37,-0.1748,24.01,28.32,2.975,14.25,1.57,60.8,687006
BAL-BLK-033,balaghat,Balaghat Mine,21.77403,80.1473,372.8,46.07,6.95,14.45,-0.2481,11.98,34.86,2.157,12.55,3.83,63.8,2059167
DON-BLK-033,dongri_buzurg,Dongri Buzurg Mine,21.50165,79.57092,110.3,41.71,6.19,12.73,-0.2493,28.84,27.62,2.871,12.37,4.77,60.0,1036629
